-0.17, 0.23, 0.11, -1.93, -0.26, 1.12, -2.00, -1.00, -1.98, 1.14, -2.01, -2.53
-0.71, 0.15, -0.22, -1.64, -0.31, 1.28, -2.85, 0.99, -2.03, 1.02, -1.81, -2.61
-0.62, 0.21, 0.24, -1.37, -0.09, 1.29, -2.26, 0.01, -1.51, 1.09, -1.52, -2.55
-0.45, 0.01, 0.06, -1.37, 0.01, 1.35, -0.91, 0.38, -2.65, 1.09, -1.40, -2.32
0.46, 0.66, 0.26, -1.37, 0.04, 1.47, -1.44, 0.43, -1.38, 0.94, -1.24, -2.00
-2.77, 1.07, -0.87, -1.13, 0.28, 1.78, -2.07, 0.38, -0.81, 0.90, -1.22, -2.20
0.29, 0.57, 0.27, -1.47, 0.60, 1.25, -1.46, 1.55, -1.58, 1.38, -1.27, -1.96
0.19, 1.11, 0.22, -1.58, 0.34, 1.00, -1.32, 0.28, -0.97, 0.75, -1.16, -1.84
0.06, 0.10, -0.04, -1.37, 0.36, 0.95, -1.12, 2.24, -1.14, 1.03, -1.09, -1.70
0.02, 0.48, 0.01, -1.36, 0.22, 0.77, -0.56, 1.52, -0.81, 0.88, -1.00, -1.38
-0.72, 1.19, -0.42, -1.31, 0.32, 0.68, -0.50, 2.01, -1.29, 0.75, -0.90, -1.08
0.02, 1.48, 0.26, -1.08, -0.03, 0.24, -0.32, 1.25, -0.52, 0.70, -0.85, -0.83
0.24, 0.24, -0.04, -1.10, -0.02, 0.08, -0.55, 0.94, -0.40, 0.74, -0.85, -0.52
-0.24, 0.32, -0.34, -1.02, -0.06, 0.02, 0.06, 0.33, -0.08, 0.75, -0.73, -0.28
-0.14, 0.10, 0.07, -0.79, -0.09, -0.04, -0.23, 0.17, -0.22, 0.48, -0.66, -0.19
-0.30, 0.10, -0.18, -0.83, -0.21, -0.21, -0.06, -0.63, 0.26, 0.59, -0.60, -0.02
-0.17, -0.15, -0.42, -0.93, -0.13, -0.26, -0.06, 0.24, 0.25, 0.73, -0.57, 0.10
0.04, -0.09, -0.61, -0.86, -0.18, -0.34, -0.18, -0.34, 0.55, 0.59, -0.46, 0.20
-0.01, -0.40, -0.53, -0.67, -0.09, -0.34, -0.33, -0.07, 0.66, 0.52, -0.40, 0.28
0.38, -0.76, -0.81, -0.57, -0.17, -0.44, -0.80, -0.67, 1.05, 0.45, -0.34, 0.30
0.11, -0.30, -0.79, -0.53, -0.09, -0.33, -0.47, -0.57, 0.81, 0.50, -0.27, 0.31
-0.09, -0.43, -0.02, -0.49, -0.05, -0.29, -0.36, -0.36, 0.21, 0.37, -0.22, 0.27
-0.33, -0.17, 0.45, -0.45, -0.07, -0.31, -0.14, -0.41, -0.31, 0.43, -0.22, 0.31
-0.79, 0.11, 0.22, -0.58, -0.05, -0.41, 0.41, -0.31, 0.06, 0.59, -0.22, 0.39
