0.67, -0.41, 0.50, -1.15, 0.06, 0.29, -0.70, 0.05, 0.14, 0.60, -0.74, -0.82
1.09, -0.24, 0.44, -1.33, 0.08, 0.13, -1.20, -0.30, 0.98, 0.43, -0.70, -1.24
0.85, -1.13, 0.85, -1.24, -0.25, 0.43, -1.85, -0.07, -0.55, 0.31, -0.45, -1.43
0.28, -0.94, -0.18, -1.16, -0.09, 0.63, -1.77, -0.59, -0.13, 0.06, -0.32, -1.74
0.11, -1.02, 0.02, -1.25, -0.07, 0.70, -1.55, -0.03, -0.50, 0.26, -0.05, -1.86
-0.04, -1.36, 0.95, -1.29, 0.10, 0.60, -2.95, 0.46, 0.24, 0.39, -0.03, -1.81
0.16, -1.29, -0.02, -1.24, 0.16, 0.54, -1.99, 0.66, -0.38, 0.45, -0.22, -1.64
0.57, -0.98, 0.29, -1.39, 0.30, 0.58, -1.56, 0.18, 0.06, 0.47, -0.21, -1.52
0.16, -0.68, -0.05, -1.45, 0.23, 0.48, -1.72, 0.46, 0.11, 0.55, -0.05, -1.55
0.48, -0.79, -0.30, -1.46, 0.23, 0.36, -1.64, 0.85, 0.32, 0.66, -0.05, -1.43
0.50, -0.43, 0.06, -1.50, 0.15, 0.32, -1.78, 0.86, 0.51, 0.63, -0.03, -1.29
0.54, -0.88, 0.52, -1.44, 0.18, 0.45, -2.18, 0.26, -0.49, 0.54, -0.11, -1.29
0.50, -0.85, -0.12, -1.61, 0.21, 0.34, -1.77, 0.09, -0.73, 0.75, -0.13, -1.21
0.36, 0.24, -0.15, -1.73, 0.23, 0.44, -0.94, 0.98, 0.99, 0.91, -0.15, -1.20
0.60, -1.00, -1.30, -1.74, 0.07, 0.64, -1.10, 0.86, 1.48, 0.67, 0.05, -1.25
0.85, 0.38, -0.50, -1.53, 0.08, 0.73, -0.53, 0.56, 0.06, 0.73, 0.01, -1.19
0.22, -0.26, -0.65, -1.41, 0.21, 0.74, -0.49, 0.19, 0.36, 0.69, -0.06, -1.00
0.77, 0.50, -0.36, -1.45, 0.11, 0.67, -0.88, 0.86, 0.87, 0.75, -0.10, -1.09
0.65, -0.29, -0.86, -1.40, 0.03, 0.84, -1.59, 0.24, 1.35, 0.49, -0.10, -1.20
0.89, -0.10, -0.03, -1.54, -0.04, 0.77, -1.61, 0.21, -0.46, 0.56, -0.23, -1.24
-0.01, -0.51, -0.69, -1.64, 0.07, 0.87, -1.33, -0.02, 0.62, 0.58, -0.38, -1.28
